date,price
2018. 2. 5,175800
2018. 2. 6,170200
2018. 2. 7,168600
2018. 2. 8,168600
2018. 2. 9,161600
2018. 2. 12,160000
2018. 2. 13,161000
2018. 2. 14,162200
2018. 2. 19,164000
2018. 2. 20,161400
2018. 2. 21,166600
2018. 2. 22,165400
2018. 2. 23,165800
2018. 2. 26,162000
2018. 2. 27,160800
2018. 2. 28,160600
2018. 3. 2,157200
2018. 3. 5,155800
2018. 3. 6,159200
2018. 3. 7,159000
2018. 3. 8,159800
2018. 3. 9,160400
2018. 3. 12,161200
2018. 3. 13,164000
2018. 3. 14,161800
2018. 3. 15,164000
2018. 3. 16,160200
2018. 3. 19,157000
2018. 3. 20,159000
2018. 3. 21,158800
2018. 3. 22,160600
2018. 3. 23,156600
2018. 3. 26,157800
2018. 3. 27,157800
2018. 3. 28,156800
2018. 3. 29,157200
2018. 3. 30,158400
2018. 4. 2,157000
2018. 4. 3,157000
2018. 4. 4,150800
2018. 4. 5,155800
2018. 4. 6,154000
2018. 4. 9,154800
2018. 4. 10,155000
2018. 4. 11,154200
2018. 4. 12,151400
2018. 4. 13,152800
2018. 4. 16,150200
2018. 4. 17,149600
2018. 4. 18,150400
2018. 4. 19,147600
2018. 4. 20,145600
2018. 4. 23,147000
2018. 4. 24,145000
2018. 4. 25,148600
2018. 4. 26,145000
2018. 4. 27,143200
2018. 4. 30,143200
2018. 5. 2,147600
2018. 5. 3,145400
2018. 5. 4,143400
2018. 5. 8,146200
2018. 5. 9,145400
2018. 5. 10,144000
2018. 5. 11,143400
2018. 5. 14,143400
2018. 5. 15,142200
2018. 5. 16,140000
2018. 5. 17,139400
2018. 5. 18,137600
2018. 5. 21,136400
2018. 5. 23,136800
2018. 5. 24,136000
2018. 5. 25,137000
2018. 5. 28,136000
2018. 5. 29,133600
2018. 5. 30,130400
2018. 5. 31,133800
2018. 6. 1,136000
2018. 6. 4,134600
2018. 6. 5,134800
2018. 6. 7,136000
2018. 6. 8,140200
2018. 6. 11,142200
2018. 6. 12,143400
2018. 6. 14,141400
2018. 6. 15,138000
2018. 6. 18,138800
2018. 6. 19,137600
2018. 6. 20,137800
2018. 6. 21,139800
2018. 6. 22,144600
2018. 6. 25,149600
2018. 6. 26,147000
2018. 6. 27,147800
2018. 6. 28,149400
2018. 6. 29,152600
2018. 7. 2,150200
2018. 7. 3,149400
2018. 7. 4,153600
2018. 7. 5,153000
2018. 7. 6,149800
2018. 7. 9,151000
2018. 7. 10,152000
2018. 7. 11,153800
2018. 7. 12,156400
2018. 7. 13,154200
2018. 7. 16,154200
2018. 7. 17,151800
2018. 7. 18,152800
2018. 7. 19,153000
2018. 7. 20,154000
2018. 7. 23,154800
2018. 7. 24,149000
2018. 7. 25,149200
2018. 7. 26,150200
2018. 7. 27,150200
2018. 7. 30,146000
2018. 7. 31,143200
2018. 8. 1,145600
2018. 8. 2,145600
2018. 8. 3,146200
2018. 8. 6,147000
2018. 8. 7,148800
2018. 8. 8,150000
2018. 8. 9,155800
2018. 8. 10,154200
2018. 8. 13,151000
2018. 8. 14,151400
2018. 8. 16,150000
2018. 8. 17,151000
2018. 8. 20,151000
2018. 8. 21,149400
2018. 8. 22,149400
2018. 8. 23,154400
2018. 8. 24,151600
2018. 8. 27,153800
2018. 8. 28,151200
2018. 8. 29,149600
2018. 8. 30,149200
2018. 8. 31,150400
2018. 9. 3,150800
2018. 9. 4,151000
2018. 9. 5,147200
2018. 9. 6,146000
2018. 9. 7,146400
2018. 9. 10,145000
2018. 9. 11,145200
2018. 9. 12,146000
2018. 9. 13,144600
2018. 9. 14,146000
2018. 9. 17,145600
2018. 9. 18,145000
2018. 9. 19,146200
2018. 9. 20,146200
2018. 9. 21,145000
2018. 9. 27,142600
2018. 9. 28,143200
2018. 10. 1,142600
2018. 10. 2,137800
2018. 10. 4,139000
2018. 10. 5,140800
2018. 10. 12,142000
2018. 10. 15,136000
2018. 10. 16,133500
2018. 10. 17,130000
2018. 10. 18,125000
2018. 10. 19,127500
2018. 10. 22,129000
2018. 10. 23,125500
2018. 10. 24,127000
2018. 10. 25,119000
2018. 10. 26,113000
2018. 10. 29,109500
2018. 10. 30,110500
2018. 10. 31,114500
2018. 11. 1,111500
2018. 11. 2,116500
2018. 11. 5,113500
2018. 11. 6,117000
2018. 11. 7,115500
2018. 11. 8,116500
2018. 11. 9,115000
2018. 11. 12,115000
2018. 11. 13,116000
2018. 11. 14,115500
2018. 11. 15,112500
2018. 11. 16,112500
2018. 11. 19,111500
2018. 11. 20,108000
2018. 11. 21,106500
2018. 11. 22,109500
2018. 11. 23,114000
2018. 11. 26,124000
2018. 11. 27,125000
2018. 11. 28,129000
2018. 11. 29,130500
2018. 11. 30,126500
2018. 12. 3,126000
2018. 12. 4,123500
2018. 12. 5,125000
2018. 12. 6,120000
2018. 12. 7,121000
2018. 12. 10,119000
2018. 12. 11,123000
2018. 12. 12,124500
2018. 12. 13,124000
2018. 12. 14,123500
2018. 12. 17,122000
2018. 12. 18,122000
2018. 12. 19,127500
2018. 12. 20,127000
2018. 12. 21,121500
2018. 12. 24,123000
2018. 12. 26,119000
2018. 12. 27,122500
2018. 12. 28,122000
2019. 1. 2,118000
2019. 1. 3,122000
2019. 1. 4,125500
2019. 1. 7,131500
2019. 1. 8,130000
2019. 1. 9,133000
2019. 1. 10,131000
2019. 1. 11,131000
2019. 1. 14,127000
2019. 1. 15,132500
2019. 1. 16,132500
2019. 1. 17,136000
2019. 1. 18,137500
2019. 1. 21,131000
2019. 1. 22,130000
2019. 1. 23,132500
2019. 1. 24,129500
2019. 1. 25,130000
2019. 1. 28,132000
2019. 1. 29,136000
2019. 1. 30,136000
2019. 1. 31,136000
2019. 2. 1,133500
2019. 2. 7,129000
2019. 2. 8,126000
2019. 2. 11,125500
2019. 2. 12,123500
2019. 2. 13,125000
2019. 2. 14,127500
2019. 2. 15,127500
2019. 2. 18,127000
2019. 2. 19,126500
2019. 2. 20,127000
2019. 2. 21,129000
2019. 2. 22,127000
2019. 2. 25,126000
2019. 2. 26,131500
2019. 2. 27,129500
2019. 2. 28,133000
2019. 3. 4,138000
2019. 3. 5,135500
2019. 3. 6,137500
2019. 3. 7,138500
